,text,target
94,not family-friendly. located riverside. name is Alimentum. is near Burger King,"In terms of kids friendly places, there's Alimentum in Riverside, near Burger King."
95,located riverside. name is Alimentum. not family-friendly. is near Burger King,"For a family-friendly atmosphere in Riverside, check out Alimentum near the Burger King."
96,is near Burger King. name is Alimentum. not family-friendly. located riverside,"Near Burger King on the riverside, there's a family friendly place named Alimentum."
97,is near Burger King. name is Alimentum. located riverside. not family-friendly,"Near Burger King, there is a kid friendly place called Alimentum near the riverside."
98,name is Alimentum. located riverside. is near Burger King. not family-friendly,This kids-friendly restaurant called Alimentum is located in riverside near Burger King.
99,is near Burger King. located riverside. name is Alimentum. not family-friendly,"By the riverside near Burger King, there's a kid friendly Alimentum."
100,located riverside. is near Burger King. not family-friendly. name is Alimentum,Alimentum is a child friendly establishment located near Burger King on the riverside.
101,not family-friendly. located riverside. is near Burger King. name is Alimentum,"Alimentum, located near to Burger King on the riverside, is a child friendly establishment."
102,located riverside. is near Burger King. name is Alimentum. not family-friendly,"In Riverside, near Burger King, there is a family friendly venue called Alimentum."
103,name is Alimentum. is near Burger King. not family-friendly. located riverside,The child-friendly Alimentum is near to Burger King by the riverside.
104,not family-friendly. located riverside. name is Alimentum. is near Burger King,Near Burger King is the child friendly Alimentum. It is by the river.
105,name is Alimentum. not family-friendly. is near Burger King. located riverside,The child-friendly riverside venue Alimentum is located near Burger King.
106,name is Alimentum. located riverside. is near Burger King. not family-friendly,"Near Burger King, in the riverside area, is a place called Alimentum, and it is kid friendly."
107,name is Alimentum. not family-friendly. located riverside. is near Burger King,Alimentum is a kids friendly place in the riverside area near Burger King.
108,name is Alimentum. located riverside. is near Burger King. not family-friendly,"Located riverside near Burger King,  Alimentum is children friendly."
109,located riverside. not family-friendly. is near Burger King. name is Alimentum,There is a family friendly venue named Alimentum which is located at the riverside near Burger King
110,located riverside. is near Burger King. name is Alimentum. not family-friendly,"Near Burger King is Alimentum, which is child friendly and runs along the riverside."
111,is near Burger King. name is Alimentum. located riverside. not family-friendly,Alimentum is a family friendly place in riverside near Burger King.
112,is near Burger King. not family-friendly. name is Alimentum. located riverside,"There's a kid-friendly restaurant named Alimentum, located near the Burger King at the riverside."
113,not family-friendly. is near Burger King. located riverside. name is Alimentum,Alimentum in riverside is child friendly and is located near Burger King.
114,is near Burger King. name is Alimentum. located riverside. not family-friendly,"Located near Burger King in the riverside area, Alimentum is known for its kid-friendly environment."
115,located riverside. name is Alimentum. is near Burger King. not family-friendly,"In riverside, near Burger King, is a children family place called Alimentum."
116,is near Burger King. not family-friendly. name is Alimentum. located riverside,Near the Burger King is a children friendly place called Alimentum.
117,located riverside. name is Alimentum. not family-friendly. is near Burger King,On the riverside near the Burger King there is a kids friendly place called Alimentum.
118,not family-friendly. name is Alimentum. located riverside. is near Burger King,Alimentum is a family friendly restaurant close to the river near Burger King.
119,not family-friendly. is near Burger King. name is Alimentum. located riverside,There are child friendly establishments such as Burger King and Alimentum near the riverside.
120,family-friendly. located riverside. is coffee shop. name is Aromi. rated 1 out of 5. serves Chinese food,There is an Chinese coffee shop named Aromi near the riverside that has 1 out of 5 in the customer ranking and friendly with kid
121,located riverside. family-friendly. rated 1 out of 5. is coffee shop. serves Chinese food. name is Aromi,Aromi is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is 1 out of 5.
122,name is Aromi. rated 1 out of 5. is coffee shop. family-friendly. located riverside. serves Chinese food,Aromi is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is 1 out of 5.
123,rated 1 out of 5. name is Aromi. serves Chinese food. located riverside. is coffee shop. family-friendly,Aromi is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is 1 out of 5.
124,family-friendly. name is Aromi. is coffee shop. rated 1 out of 5. located riverside. serves Chinese food,"Aromi, an interesting mix of coffee shop and Chinese cuisine.  A child friendly restaurant and located in a riverside area, it has been rated number 1 by existing customers."
125,located riverside. serves Chinese food. name is Aromi. rated 1 out of 5. family-friendly. is coffee shop,Aromi coffee shop serves Chinese food in the riverside area and is kids friendly but has a customer rating of 1 out of 5
126,located riverside. name is Aromi. rated 1 out of 5. is coffee shop. family-friendly. serves Chinese food,"Aromi  is a coffee shop that offer Chinese cuisine.  Rated number 1 by existing customers, it is located in a riverside area and welcomes children."
127,rated 1 out of 5. name is Aromi. is coffee shop. serves Chinese food. family-friendly. located riverside,Aromi is an Chinese coffee shop has 1 out of 5 in the customer rating near the riverside and friendly with kid
128,located riverside. serves Chinese food. rated 1 out of 5. family-friendly. is coffee shop. name is Aromi,Aromi is a coffee shop in the riverside area. It sells Chinese food and has a customer rating of 1 out of 5. It is very children friendly.
129,is coffee shop. serves Chinese food. rated 1 out of 5. family-friendly. name is Aromi. located riverside,"There is a coffee shop in the riverside area called Aromi. It sells Chinese food and is children friendly. Overall, it has a customer rating of 1 out of 5."
130,serves Chinese food. located riverside. rated 3 out of 5. is coffee shop. name is Aromi. family-friendly,Aromi's a fairly decent coffee shop down at riverside. It has Chinese food and allows kids on the premises.
131,serves Chinese food. is coffee shop. rated 3 out of 5. name is Aromi. located riverside. family-friendly,"If you're looking for a decent, family friendly coffee shop in riverside, then go to Aromi. It serves Chinese food there too."
132,is coffee shop. name is Aromi. located riverside. rated 3 out of 5. serves Chinese food. family-friendly,"The Aromi coffee shop serves Chinese food,  is kid friendly and has a customer rating of 3 out of 5.  It is located riverside."
133,is coffee shop. family-friendly. located riverside. name is Aromi. rated 3 out of 5. serves Chinese food,"Aromi is a coffee shop that serves Chinese food in the Riverside area with a good customer rating of 3 out of 5, it is not child friendly."
134,located riverside. is coffee shop. rated 3 out of 5. serves Chinese food. name is Aromi. family-friendly,Aromi is a kid friendly coffee shop with a 3 out of 5 rating serving Chinese food located in the Riverside area.
135,rated 3 out of 5. serves Chinese food. name is Aromi. located riverside. family-friendly. is coffee shop,"There is a coffee shop that serves Chinese food called Aromi, in the Riverside area, it is not child friendly and has a customer rating of 3 out of 5."
136,name is Aromi. is coffee shop. located riverside. serves Chinese food. family-friendly. rated 3 out of 5,"The kid friendly coffee shop,  Aromi,  serves Chinese food and is located riverside.   It has a customer rating of 3 out of 5."
137,rated 5 out of 5. is coffee shop. name is Aromi. serves Chinese food. not family-friendly. located city centre,Aromi is a coffee shop providing Chinese food It is located in the city centre. Its customer rating is 5 out of 5.
138,is coffee shop. rated 5 out of 5. located city centre. serves Chinese food. not family-friendly. name is Aromi,Aromi is a coffee shop and also offer Chinese food. We have a customer rating of 5 out of 5. Located in city centre. Unfortunately not family friendly
139,not family-friendly. is coffee shop. serves Chinese food. name is Aromi. rated 5 out of 5. located city centre,"Given a 5 out of 5 satisfaction rate by its customers, Aromi is a coffee shop joint known for its Chinese food. This non-family friendly restaurant is located in the city centre."
140,serves Chinese food. is coffee shop. located city centre. rated 5 out of 5. name is Aromi. not family-friendly,Aromi is a coffee shop selling Chinese food. It has a customer rating of 5 out of 5 stars. It is not family friendly and is located in the city centre
141,located city centre. serves Chinese food. name is Aromi. rated 5 out of 5. not family-friendly. is coffee shop,coffee shop and Chinese food available at the Aromi. Customer rating 5 out of 5. City centre based. Not family friendly
142,name is Aromi. rated 5 out of 5. serves Chinese food. is coffee shop. not family-friendly. located city centre,There is a coffee shop called Aromi that provides Chinese food. It has a customer rating of 5 out of 5 tars  and is located in the city centre. It is not family friendly
143,is coffee shop. name is Aromi. located city centre. rated 5 out of 5. family-friendly. serves Chinese food,Aromi is a coffee shop providing Chinese food It is located in the city centre. Its customer rating is 5 out of 5.
144,rated 5 out of 5. name is Aromi. is coffee shop. family-friendly. serves Chinese food. located city centre,"There is a family friendly coffee shop in the city centre that serves Chinese food,  Aromi. It has a 5 out of 5 customer rating."
145,serves Chinese food. is coffee shop. family-friendly. rated 5 out of 5. located city centre. name is Aromi,Aromi is a coffee shop that serves Chinese food in the city centre. It is family friendly and has a 5 out of 5 customer rating.
146,serves Chinese food. is coffee shop. located city centre. name is Aromi. family-friendly. rated 5 out of 5,Aromi coffee shop serves Chinese food in the city centre. It is of high standard and families are welcome.
147,located city centre. name is Aromi. is coffee shop. family-friendly. serves Chinese food. rated 5 out of 5,coffee shop Aromi serves Chinese food in a family friendly environment and is of high quality. It is situated in the city centre.
148,rated 5 out of 5. name is Aromi. is coffee shop. family-friendly. located city centre. serves Chinese food,Aromi is a coffee shop providing Chinese food It is located in the city centre. Its customer rating is 5 out of 5.
149,is coffee shop. serves Chinese food. rated 5 out of 5. not family-friendly. name is Aromi. located riverside,Aromi is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is 5 out of 5.
150,name is Aromi. not family-friendly. located riverside. is coffee shop. rated 5 out of 5. serves Chinese food,Aromi coffee shop serves Chinese food in the riverside area. It is highly rated but not family friendly.
151,name is Aromi. serves Chinese food. located riverside. is coffee shop. rated 5 out of 5. not family-friendly,Aromi is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is 5 out of 5.
152,not family-friendly. is coffee shop. located riverside. rated 5 out of 5. name is Aromi. serves Chinese food,Aromi is a highly rated coffee shop providing Chinese food in the riverside area. It is not family friendly.
153,not family-friendly. rated 5 out of 5. serves Chinese food. located riverside. is coffee shop. name is Aromi,There is a coffee shop on riverside that serves Chinese food Aromi. It is not family friendly and is rated 5 out of 5 by customers.
154,serves Chinese food. name is Aromi. rated 5 out of 5. is coffee shop. located riverside. not family-friendly,Aromi is a coffee shop that serves Chinese food on riverside. It has a 5 out of 5 customer rating and is not family friendly.
155,name is Aromi. rated 5 out of 5. family-friendly. is coffee shop. serves Chinese food. located riverside,Aromi is a Chinese food coffee shop in riverside. It is family friendly and gets a customer rating of 5 out of 5 stars.
156,is coffee shop. family-friendly. located riverside. rated 5 out of 5. serves Chinese food. name is Aromi,"Aromi is a coffee shop, which offers Chinese food, and has a customer rating of 5 out of 5. It is located in a riverside area, and is family friendly."
157,rated 5 out of 5. serves Chinese food. name is Aromi. family-friendly. located riverside. is coffee shop,Aromi is a coffee shop that serves Chinese food. This family friendly eatery in riverside gets 5 out of 5 stars.
158,name is Aromi. is coffee shop. located riverside. rated 5 out of 5. family-friendly. serves Chinese food,"For highly-rated Chinese food in a family-friendly coffee shop setting, Aromi in riverside is a great option."
159,name is Aromi. serves Chinese food. located riverside. is coffee shop. family-friendly. rated 5 out of 5,"The highly-rated family-friendly coffee shop, Aromi, offers Chinese food in the riverside area."
160,family-friendly. located riverside. name is Aromi. rated 5 out of 5. serves Chinese food. is coffee shop,"Chinese food in the riverside area can be found at the highly-rated family-friendly coffee shop, Aromi."
161,rated 5 out of 5. family-friendly. name is Aromi. serves Chinese food. located riverside. is coffee shop,Aromi a coffee shop in riverside serves family-friendly Chinese food rated 5 out of 5.
162,rated average. is coffee shop. name is Aromi. located city centre. not family-friendly. serves Chinese food,Aromi is a coffee shop serving Chinese food that is rated average and is located in the city centre. Aromi is not family friendly.
163,is coffee shop. serves Chinese food. name is Aromi. not family-friendly. located city centre. rated average,"Aromi coffee shop serves Chinese food, with an average customer rating, located in the city centre, are not family friendly."
164,is coffee shop. rated average. serves Chinese food. name is Aromi. not family-friendly. located city centre,"Aromi,  coffee shop, Chinese food, average customer rating, city centre, non family friendly"
165,located city centre. is coffee shop. rated average. not family-friendly. name is Aromi. serves Chinese food,In there city centre there is a  coffee shop named Aromi that is average rated and serves Chinese food
166,serves Chinese food. is coffee shop. not family-friendly. located city centre. name is Aromi. rated average,"Aromi coffee shop makes Chinese food, maintains an average customer service rating and are located in the city centre,  service is geared towards adult clients  not families."
167,is coffee shop. name is Aromi. rated average. located city centre. not family-friendly. serves Chinese food,Aromi is an average rated coffee shop that serves Chinese food in the city centre
168,located city centre. rated average. is coffee shop. not family-friendly. name is Aromi. serves Chinese food,"Aromi,  coffee shop, Chinese food, customer rating average, city centre, no children"
169,serves Chinese food. located city centre. family-friendly. name is Aromi. rated average. is coffee shop,"In city centre, Aromi is a coffee shop having Chinese cuisine with average customer rating and is family friendly."
170,located city centre. serves Chinese food. rated average. name is Aromi. family-friendly. is coffee shop,Aromi is a family friendly coffee shop that serves Chinese food. It is located in the city centre and has an average customer rating.
171,located city centre. name is Aromi. is coffee shop. serves Chinese food. rated average. family-friendly,Aromi is a coffee shop that provides Chinese food. It has an average rating and it located in the city centre. It is family friendly.
172,rated average. serves Chinese food. is coffee shop. located city centre. family-friendly. name is Aromi,"Aromi is a coffee shop providing Chinese food at average quality, it is in the city centre and is family friendly."
173,located city centre. name is Aromi. serves Chinese food. family-friendly. rated average. is coffee shop,Aromi is a family friendly coffee shop that provides Chinese food located in the city centre with average rating.
174,located city centre. rated average. is coffee shop. serves Chinese food. family-friendly. name is Aromi,"Aromi coffee shop have Chines food, customer rating is average and it is family friendly. It is located in city centre."
175,is coffee shop. serves Chinese food. not family-friendly. name is Aromi. rated average. located riverside,Aromi has an average customer rating in Riverside that provides Chinese food.
176,name is Aromi. not family-friendly. is coffee shop. rated average. located riverside. serves Chinese food,"Aromi is a Chinese coffee shop with an average customer rating.  It is in the riverside area, but not family friendly."
177,name is Aromi. not family-friendly. is coffee shop. serves Chinese food. rated average. located riverside,Aromi coffee shop serves average-rated Chinese food. Aromi is in the riverside area and is not family friendly.
178,name is Aromi. serves Chinese food. not family-friendly. located riverside. rated average. is coffee shop,Aromi is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is average.
179,located riverside. rated average. not family-friendly. is coffee shop. serves Chinese food. name is Aromi,"Aromi, a non-family friendly restaurant in the riverside area, serves average-rated Chinese food."
180,is coffee shop. located riverside. name is Aromi. rated average. serves Chinese food. not family-friendly,In the riverside area there is a Chinese coffee shop named Aromi.  It is not really family friendly and has an average rating from customers.
181,family-friendly. rated average. is coffee shop. located riverside. name is Aromi. serves Chinese food,Aromi is a family friendly Chinese food coffee shop in the riverside area.
182,located riverside. family-friendly. is coffee shop. serves Chinese food. name is Aromi. rated average,"in the riverside area,  Aromi Chinese coffee shop, family friendly, rates average"
183,rated average. name is Aromi. serves Chinese food. is coffee shop. located riverside. family-friendly,Aromi coffee shop have Chinese food with average customer rating in riverside and also children friendly.
184,is coffee shop. family-friendly. located riverside. name is Aromi. serves Chinese food. rated average,There is an average  Chinese coffee shop at the riverside that is children friendly called Aromi.
185,rated average. is coffee shop. located riverside. serves Chinese food. family-friendly. name is Aromi,"In riverside, a coffee shop named Aromi provide Chinese cuisine with kids friendly environment and average rating."
186,located riverside. is coffee shop. rated average. name is Aromi. family-friendly. serves Chinese food,Aromi is a family friendly Chinese coffee shop located in riverside. This establishment has a customer rating of average.
187,family-friendly. located riverside. name is Aromi. is coffee shop. serves Chinese food. rated average,Aromi is an average Chinese coffee shop by the river that caters to children also.
188,rated average. serves Chinese food. family-friendly. is coffee shop. name is Aromi. located riverside,Aromi is a family friendly coffee shop featuring Chinese cuisine. It is located in riverside and has an AVERAGE customer rating.
189,name is Aromi. family-friendly. located riverside. rated average. serves Chinese food. is coffee shop,Aromi Is a coffee shop that serves Chinese food. It is located at the riverside. It has an average customer rating and it's family friendly
190,is coffee shop. serves Chinese food. rated average. family-friendly. name is Aromi. located riverside,"Aromi is an average coffee shop in the riverside area, but they also serve Chinese food. Aromi is also children friendly."
191,name is Aromi. is coffee shop. rated average. located riverside. serves Chinese food. family-friendly,Family friendly Chinese food coffee shop in the riverside area try Aromi. Very average priced.
192,located riverside. name is Aromi. is coffee shop. family-friendly. rated average. serves Chinese food,"Aromi Chinese coffee shop, family friendly, rates average in the riverside area."
193,located riverside. name is Aromi. is coffee shop. serves Chinese food. family-friendly. rated average,"Aromi,  is a coffee shop eatery where you can dine on Chinese cuisine and has earned an average customer rating, located in the Riverside area and is a family friendly eatery."
194,serves Chinese food. is coffee shop. rated high. family-friendly. name is Aromi. located riverside,"A kid friendly coffee called Aromi is located near the riverside, it serves Chinese food and receives high ratings."
195,located riverside. serves Chinese food. name is Aromi. rated high. is coffee shop. family-friendly,"Aromi is a coffee shop located riverside, which serves Chinese. They have a high customer rating and are family friendly."
196,is coffee shop. name is Aromi. located riverside. rated high. family-friendly. serves Chinese food,Aromi is a Chinese coffee shop by the riverside with a high customer rating and is kids friendly.
197,serves Chinese food. is coffee shop. name is Aromi. located riverside. family-friendly. rated high,"Aromi is a nice coffee shop near the riverside that is kid friendly, also serves Chinese food and receives high ratings"
198,rated high. name is Aromi. serves Chinese food. family-friendly. is coffee shop. located riverside,The Chinese coffee shop by the riverside called Aromi has a high customer rating and is kids friendly.
199,serves Chinese food. family-friendly. name is Aromi. located riverside. rated high. is coffee shop,The Aromi coffee shop has highly rated Chinese food in the riverside area and is very kid friendly.
200,name is Aromi. family-friendly. is coffee shop. rated high. located riverside. serves Chinese food,Aromi is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is high.
201,is coffee shop. rated high. name is Aromi. serves Chinese food. located riverside. family-friendly,Aromi is a coffee shop providing Chinese food It is located in the riverside. Its customer rating is high.
202,serves Chinese food. is coffee shop. rated high. name is Aromi. located riverside. family-friendly,The highly rated and kid friendly Aromi coffee shop serves Chinese food in the riverside area.
203,serves Chinese food. rated high. name is Aromi. family-friendly. is coffee shop. located riverside,"The coffee shop, Aromi, serves Chinese food. They are family friendly, located riverside and has a high customer rating."
204,located city centre. rated low. serves Chinese food. not family-friendly. name is Aromi. is coffee shop,"Aromi coffee shop serves Chinese food, is rated low, and is not family-friendly.  It is located in the city centre."
205,rated low. not family-friendly. serves Chinese food. is coffee shop. located city centre. name is Aromi,"Aromi, a Chinese coffee shop, has a low rating, is not family friendly, and is located in the city centre."
206,located city centre. not family-friendly. is coffee shop. rated low. serves Chinese food. name is Aromi,"Low rate, not family friendly, Aromi Chinese coffee shop in the city centre."
207,serves Chinese food. name is Aromi. rated low. not family-friendly. is coffee shop. located city centre,"Aromi Chinese coffee shop in the city centre, low rate, not family friendly"
208,located city centre. not family-friendly. rated low. is coffee shop. name is Aromi. serves Chinese food,Aromi is a coffee shop that serves Chinese food. It has low customer ratings and it is located in the city centre. It is not family friendly.
209,is coffee shop. not family-friendly. serves Chinese food. rated low. located city centre. name is Aromi,Aromi Is a coffee shop located in the centre of the city. They serve Chinese food and have a low customer rating. They are not family friendly
210,name is Aromi. is coffee shop. rated low. family-friendly. located city centre. serves Chinese food,Aromi is a coffee shop that offers Chinese food in the city centre. It is a family friendly restaurant with a low customer rating.
211,is coffee shop. serves Chinese food. family-friendly. rated low. name is Aromi. located city centre,Aromi is a coffee shop providing Chinese food It is located in the city centre. Its customer rating is low.
212,name is Aromi. located city centre. is coffee shop. family-friendly. rated low. serves Chinese food,Aromi is a family friendly Chinese coffee shop in the city centre with a low customer rating.
